labels,2015,2016,2017,2018,2019,2020,2021,low_shock,high_shock
313,18656.75,21711.25,18024.5,17155.5,14921.25,15655,14540.5,18656.75,17155.5
314,17688,20998.5,17780.75,17031,15034.25,15286,15076.25,17688,17031
315,18233,21173.25,18012.25,17098.5,14978,15027.5,15012.75,18233,17098.5
316,17703,21828.25,17952.5,17071.75,15352.5,15300,15117,17703,17071.75
317,17888,22361.75,17995.75,16881.5,16494.5,15310.75,15295.75,17888,16881.5
318,18255.5,23704.75,17807.25,16845.75,18190.75,15529.25,15766.5,18255.5,16845.75
319,18743.5,26084.75,18670.5,17043.5,18798.75,16017.25,16576.25,18743.5,17043.5
320,19478.5,27899.25,20129.5,18116.75,20324.75,16602,17959.5,19478.5,18116.75
321,19692.25,25750,20324.75,18964.75,19890.75,15676.5,17852.25,19692.25,18964.75
322,19301.75,25021.75,20227.5,18562.5,18640.75,15304.5,17614.75,19301.75,18562.5
323,18560.75,24038.75,20274.25,17788.25,17532.5,15189.5,19089.5,18560.75,17788.25
