labels,2015,2016,2017,2018,2019,2020,2021,2022
290,20.46275,14.13741667,19.98005556,21.31879167,19.99505556,11.99141667,21.48608333,85.58583333
291,20.468625,14.120125,19.96608333,21.2721875,20.07141667,11.960125,21.479125,85.64875
292,20.4745,14.10283333,19.95211111,21.22558333,20.14777778,11.92883333,21.47216667,85.71166667
293,20.480375,14.08554167,19.93813889,21.17897917,20.22413889,11.89754167,21.46520833,85.77458333
294,20.48625,14.06825,19.92416667,21.132375,20.3005,11.86625,21.45825,85.8375
295,20.492125,14.05095833,19.91019444,21.08577083,20.37686111,11.83495833,21.45129167,85.90041667
296,20.498,14.03366667,19.89622222,21.03916667,20.45322222,11.80366667,21.44433333,85.96333333
297,20.503875,14.016375,19.88225,20.9925625,20.52958333,11.772375,21.437375,86.02625
298,20.50975,13.99908333,19.86827778,20.94595833,20.60594444,11.74108333,21.43041667,86.08916667
299,20.515625,13.98179167,19.85430556,20.89935417,20.68230556,11.70979167,21.42345833,86.15208333
300,20.5215,13.9645,19.84033333,20.85275,20.75866667,11.6785,21.4165,86.215
301,20.527375,13.94720833,19.82636111,20.80614583,20.83502778,11.64720833,21.40954167,86.27791667
302,20.53325,13.92991667,19.81238889,20.75954167,20.91138889,11.61591667,21.40258333,86.34083333
303,20.539125,13.912625,19.79841667,20.7129375,20.98775,11.584625,21.395625,86.40375
