time,2015,2016,2017,2018,2019,favorable,adverse
01-13 07:00,72256.0,72764.0,74285.0,55391.0,46618.0,64684.4,82325.6
01-13 08:00,73160.0,73962.0,75485.0,59358.0,50400.0,65888.24,83857.76000000001
01-13 09:00,72861.0,74088.0,75900.0,62780.0,54762.0,66518.32,84659.68000000001
01-13 10:00,73498.0,74511.0,76753.0,64269.0,57688.0,67164.24,85481.76000000001
01-13 11:00,74295.0,75281.0,76755.0,65026.0,60349.0,68633.84,87352.16
01-13 12:00,74098.0,74321.0,76264.0,64765.0,60147.0,68493.92,87174.08
01-13 13:00,73697.0,74382.0,75213.0,63213.0,59259.0,67774.08,86257.92000000001
01-13 14:00,72088.0,72737.0,73205.0,61216.0,58011.0,66093.28,84118.72
01-13 15:00,71065.0,72778.0,72164.0,60263.0,57549.0,65440.32,83287.68000000001
01-13 16:00,71727.0,73821.0,73153.0,62367.0,59250.0,65765.92,83702.08
01-13 17:00,75016.0,75621.0,75393.0,65397.0,62112.0,67727.44,86198.56000000001
01-13 18:00,74533.0,75152.0,75242.0,65643.0,62548.0,67052.48,85339.52
